epoch,ip_src,ip_dst,length,timestamp
1742585054.6435592,128.111.5.228,192.168.40.2,74,2025-03-21 19:24:14.643559217
1742585054.6550343,128.111.5.228,192.168.40.2,74,2025-03-21 19:24:14.655034304
1742585054.655125,128.111.5.228,192.168.40.2,66,2025-03-21 19:24:14.655124903
1742585054.6569529,128.111.5.228,192.168.40.2,86,2025-03-21 19:24:14.656952858
1742585054.6572115,128.111.5.228,192.168.40.2,387,2025-03-21 19:24:14.657211542
1742585054.6647098,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:14.664709806
1742585054.6647553,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.664755344
1742585054.6650305,128.111.5.228,192.168.40.2,1339,2025-03-21 19:24:14.665030479
1742585054.6782649,128.111.5.228,192.168.40.2,66,2025-03-21 19:24:14.678264856
1742585054.6796343,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:14.679634333
1742585054.6797128,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:14.679712772
1742585054.6797965,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.679796457
1742585054.6798384,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.679838419
1742585054.6816883,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.681688309
1742585054.6837213,128.111.5.228,192.168.40.2,1244,2025-03-21 19:24:14.683721304
1742585054.6853757,128.111.5.228,192.168.40.2,140,2025-03-21 19:24:14.685375690
1742585054.6855092,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.685509205
1742585054.6874938,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.687493801
1742585054.6895204,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.689520359
1742585054.6914515,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.691451550
1742585054.6934364,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.693436384
1742585054.695408,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.695408106
1742585054.6973884,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.697388411
1742585054.6993673,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.699367285
1742585054.7014012,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.701401234
1742585054.7033243,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.703324318
1742585054.7053547,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.705354691
1742585054.7072809,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.707280874
1742585054.7093067,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.709306717
1742585054.711238,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.711237907
1742585054.713264,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.713263988
1742585054.715195,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.715194941
1742585054.7171729,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.717172861
1742585054.7191527,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.719152689
1742585054.7211785,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.721178532
1742585054.7231064,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:14.723106384
1742585054.7232146,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.723214626
1742585054.7252,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.725199938
1742585054.7271783,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.727178335
1742585054.7292054,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.729205370
1742585054.7311356,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.731135607
1742585054.733165,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.733165026
1742585054.7350924,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.735092402
1742585054.7370825,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.737082481
1742585054.7390487,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.739048719
1742585054.7410765,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.741076469
1742585054.7430072,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.743007183
1742585054.7450366,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.745036602
1742585054.7469645,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.746964455
1742585054.7489884,128.111.5.228,192.168.40.2,74,2025-03-21 19:24:14.748988390
1742585054.7490408,128.111.5.228,192.168.40.2,74,2025-03-21 19:24:14.749040842
1742585054.7491393,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.749139309
1742585054.751119,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.751118898
1742585054.7530973,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.753097296
1742585054.7550716,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.755071640
1742585054.7570558,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.757055759
1742585054.7590325,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.759032488
1742585054.7610638,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.761063814
1742585054.762991,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.762990952
1742585054.7650173,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.765017271
1742585054.7669487,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.766948700
1742585054.7689748,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.768974781
1742585054.7709048,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.770904779
1742585054.772935,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.772934914
1742585054.774866,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.774866104
1742585054.776895,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.776895046
1742585054.7788696,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.778869629
1742585054.7808504,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.780850410
1742585054.7828317,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.782831669
1742585054.7848094,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.784809351
1742585054.7867827,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.786782742
1742585054.788762,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.788762093
1742585054.7906914,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.790691376
1742585054.792724,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.792723894
1742585054.7947016,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.794701576
1742585054.7966776,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.796677589
1742585054.7986512,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.798651218
1742585054.800636,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.800636053
1742585054.802612,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.802612066
1742585054.8045933,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.804593325
1742585054.806573,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.806572914
1742585054.808545,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.808545113
1742585054.810524,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.810523987
1742585054.8125083,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.812508345
1742585054.8144803,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.814480305
1742585054.8164656,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.816465616
1742585054.8184433,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.818443298
1742585054.8204231,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.820423126
1742585054.8224006,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.822400570
1742585054.824326,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.824326038
1742585054.826353,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.826353073
1742585054.8282835,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.828283548
1742585054.83026,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.830260038
1742585054.83224,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.832240105
1742585054.8342156,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.834215641
1742585054.8362005,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.836200476
1742585054.8381808,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.838180780
1742585054.8401554,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.840155363
1742585054.8421788,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.842178822
1742585054.844112,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.844111919
1742585054.8462124,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.846212387
1742585054.8480704,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.848070383
1742585054.850093,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.850092888
1742585054.8520277,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.852027655
1742585054.8540504,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.854050398
1742585054.8559842,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.855984211
1742585054.8580077,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.858007669
1742585054.8599384,128.111.5.228,192.168.40.2,66,2025-03-21 19:24:14.859938383
1742585054.8600235,128.111.5.228,192.168.40.2,66,2025-03-21 19:24:14.860023499
1742585054.860111,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:14.860110998
1742585054.8602269,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.860226870
1742585054.8622572,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.862257242
1742585054.8641884,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.864188433
1742585054.8662095,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.866209507
1742585054.8681428,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.868142843
1742585054.8701673,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.870167255
1742585054.8720996,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.872099638
1742585054.8740847,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.874084711
1742585054.8760576,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.876057625
1742585054.8780847,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:14.878084660
1742585054.8781457,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.878145695
1742585054.8801243,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.880124331
1742585054.882156,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.882155895
1742585054.8840828,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.884082794
1742585054.8861153,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.886115313
1742585054.8880403,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.888040304
1742585054.8900707,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.890070677
1742585054.8920016,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.892001629
1742585054.8940284,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.894028425
1742585054.895959,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.895958900
1742585054.8979893,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.897989273
1742585054.899969,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.899969101
